Venlafaxine_drugsCom	Venlafaxine_MedEffect	Venlafaxine_OpenFDA	Venlafaxine_Twitter	sideefects	known_sideeffect_medlineplus_drugs_com_webmd
0.020408163265306117	0.00611387084447841	0.012063539637344524	0.04112287613888205	, increase weight,gain weight,weight gain,weight increase,gains weight,gain wt,weight gaining,gaining wt,increasing weight,increased weight,increases weight,wt gain,gained weight	nan_nan_Weight Gain
0.02117863720073665	0.00021413276231263385	0.0004858299595141701	0.04094066041184355	, not gaining weight,not putting on weight,failure to gain weight,weight gain unable,failure weight gain,putting weight,weight gaining,weight gain failure,unable to gain weight,gaining weight,put weight,poor weight gain	nan_nan_Weight Gain
0.01589242053789731	0.0017921146953405016	0.007802668009061163	0.028329328443151638	, pain sense,painful,sense of pain,pain,paining,pains	eye pain or redness_nan_Difficult Or Painful Urination
0.01589242053789731	0.0017921146953405016	0.007926612041325259	0.028329328443151638	, pain, Pain	eye pain or redness_nan_Difficult Or Painful Urination
0.0125	0.005864509605662286	0.014404544532359504	0.009024577572964671	, blood pressure	nan_nan_High Blood Pressure
0.008223684210526315	0.004011824324324324	0.00932180491758984	0.008532739751437582	, change moods,labile mood,change mood,changes mood,altered moods,altering mood,emotional lability,mood labile,mood swings,swings mood,emotionally labile,mood swing,emotional instability,mood change	nan_mood or mental changes_Mood Changes
0.024742268041237112	0.012244078683259736	0.02680893033264593	0.005550049554013875	, suicide thoughts,ideation suicidal,suicidal ideation,ideations suicidal,suicidal thoughts	nan_suicidal thoughts_Suicidal Thoughts
0.008152173913043478	0.0006263048016701461	0.002963328806025435	0.0036993769470404976	, cancer,tumor malignant,neoplasm cancer,blastoma,cancers,malignant tumors,malignant neoplasm,malignant neoplasms,malignant tumours,blastomas,malignancies,malignant tumor,malignant tumour,cancer nos,cancer neoplasms,ca cancer	nan_nan_Neuroleptic Malignant Syndrome, A Reaction Characterized By Fever, Muscle Rigidity And Confusion
0.01879699248120301	0.0039641143334028794	0.00815428423505048	0.0033707865168539327	, dry mouth, Dry mouth	dry mouth_nan_Dry Mouth
0.011019283746556474	0.0025062656641604013	0.007156549520766773	0.002594810379241517	, rapid pulse,heart increasing rates,tachycardias,increased pulse,fast pulse,heart high rate,pulse rapid,heart increased rates,beats heart rapid,heart rate increased,heartbeat increased,fast heart rate,rapid heart rate,rapid heart beat,beat heart rapid,pulse increased,heart high rates,heart increasing rate,increased heart rate,heart rate fast,heartbeat rapid,high pulse rate,increased pulse rate,heartbeats rapid,heart rate rapid,rapid heartbeat,tachycardia	nan_nan_Fast Heartbeat
0.002793296089385475	0.00244548604035052	0.006134415877311682	0.002377650089161879	, pains chest,pain chest nos,chest pain nos,thorax pain,pain thorax,chest pains,pain chest,chest pain	chest pain_chest pain_Chest Pain
0.0053475935828877	0.0006380263717566992	0.00218921032056294	0.002366863905325445	, hyperthermia,febrile,elevated temperature,body increased temperature,febriles,temperature elevation,increase temperature,increases temperature,temperature high,fever,fevers,high temperatures,pyrexia,raised temperature,body high temperature,fevered,increased body temperature,febris,pyrexial,temperature increase,high temperature,high body temperature	nan_high fever_nan
0.007407407407407408	0.00021303792074989347	0.0008109203946479254	0.001826669372843516	, aches ear,ear pains,earaches,pain ear,ears pain,otalgia,pain in ear,earache,ear pain,ache ears,pain in the ear,ear aches,ache ear,ear ache	nan_nan_Abnormally Acute Hearing Or Painful Sensitivity To Sound
0.007594936708860759	0.00021303792074989347	0.0008375209380234506	0.0014271151885830785	, ear pain, Ear pain	nan_nan_Abnormally Acute Hearing Or Painful Sensitivity To Sound
0.0056980056980056966	0.0012733446519524619	0.003946329913180742	0.0008230452674897119	, eye ache,pain eye,ocular pain,ache eye,pain in eye,eyes pain,pain in eyes,eyes pains,eye pains,pain eyes,eye pain in,ache eyes,aches eye,eye pain	eye pain or redness_nan_nan
0.0056980056980056966	0.0012779552715654952	0.00343213728549142	0.00041017227235438887	, visual hallucinations,see things,see thing,visual hallucination,hallucinations visual,seeing things,seeing thing	hallucinations (seeing things or hearing voices that do not exist)_nan_nan
0.0029239766081871343	0.0008403361344537818	0.00129315918789603	0.0004079967360261118	, skin scale,peeling of skin,desquamation,of skin peeling,peel skin,exfoliation,scaled skin,skin peel,exfoliate,scaling,skin flaking,scales skin,flakes skin,flaking skin,scaling skin,exfoliating,peeling skins,peeling skin,skin desquamation,peels skin,skin exfoliation,skin scaling,skin flake,skin peeling,exfoliated,flake skin	nan_nan_A Skin Disorder With Blistering And Peeling Skin Called Stevens-Johnson Syndrome
0.0060790273556231	0.005402036152088095	0.009855382967327265	0.00020610057708161583	, vision blurred, Vision blurred	nan_Blurred vision_Blurred Vision
0.006153846153846154	0.0010311404413281089	0.0017850312380466656	0.00020601565718994644	, neck pain, Neck pain	nan_nan_Neck Pain
