	sideefects
0	, surgical abdomen,acute abdomen,abdomen acute,acute abdominal syndrome
1	, abdominal cramping,abdominal cramp,abdominal cramps,cramps abdominal,crampy abdominal pain
2	, abdominal distention,swelling abdomen,abdomen distention,abdominal distension,swelling abdominal,abdominal lump,abdomen distended,abdominal swelling,distended abdomen,abdomen swelling,abdominal swellings,swollen abdomen,abdomen swelled,swelling of abdomen,abdomen swollen
3	, tumor abdomen,abdominal tumors,tumor of abdomen,abdomen tumors,abdomen tumours,abdominal neoplasm,abdominal tumor,abdominal tumours,abdominals tumors,tumor abdominal
4	, abnormalities congenital multiple,multiple congenital anomaly,multiple congenital anomalies,anomalies multiple
5	, miscarriage,spontaneous abortions,miscarriages,abortion spontaneous,pregnancy miscarriage,miscarriage of pregnancy,miscarriages pregnancy,abortions spontaneous,miscarriage pregnancy,spontaneous abortion
6	, miss abortion,missed miscarriage,missed abortion,abortion miss,missed abortions,abortion missed
7	, abortion septic,septic abortion
8	, accidental hemorrhage,accidental haemorrhage,placental separation,abruptio placentae,premature separation of placenta,placentae abruptio,abruptio placenta,ablatio placentae,placental abruption,abruption placental,placenta abruptio
9	, accidents,accident
10	, acidosis lactic,lactacidosis,lactic acidosis
11	, acidosis renal tubules,renal tubule acidosis,rta,tubular renal acidosis,renal tubular acidosis,acidosis tubular renal
12	, respiratory acidosis,acidosis respiratory,hypercapnic acidosis
13	, pancreatitis acute,acute disorders pancreatitis,acute pancreatitis
14	, acute phase reactions,acute phase reaction,acute phase response
15	, infective tonsillitis,acute tonsillitis
16	, acute atrophy yellow,massive hepatic necrosis,acute hepatic necrosis,acute necrosis of liver,acute yellow atrophy
17	, adenitis
18	, adenocarcinomas,adenocarcinoma
19	, adenomas,adenomas benign,tumor of the gland,benign adenoma,adenoma
20	, adhesions,adhesion,abnormal attachment of organs or body parts
21	, adjustment reactions,adjustment disorders,reactive disorder,adjustment disorder,adjustment reaction,reaction adjustment
22	, adrenal disorders gland,adrenal disorder,adrenal gland diseases,adrenal diseases,adrenal gland disorder,adrenal disease gland,disorders of adrenal glands,diseases adrenal glands,adrenal gland disorders,adrenal disease,adrenal disorders,adrenal diseases gland,adrenal disease glands,disease of adrenal gland,adrenal disordered,adrenal disorder gland,adrenal glands disorders,adrenal gland disease
23	, overproduction of cortisol,adrenal cortical hyperfunction,adrenal cortex hyperfunction,adrenal gland hyperfunction,adrenocortical hyperfunction,hypercorticism,cortisol overproduction,hypercortisolism,hyperadrenalism,hyperadrenocorticism
24	, adrenal insufficiency,adrenal hypofunction,insufficiency adrenal,adrenal hypofunctions,adrenal insufficiencies,adrenal failure
25	, air swallowing,air swallow,swallowing air,aerophagy,swallow air,aerophagia
26	, afibrinogenaemia,afibrinogenemia,factor i deficiency
27	, aggressive behavior,aggressive,aggressive behaviors,aggression,aggressive behaviours,aggressive behaviour,violent aggressive behavior
28	, agnosia,agnosias
29	, AIDS dementia,AIDS dementia complex,dementia AIDS,dementia HIV,aids-related dementia,HIV dementia
30	, respiratory obstruction,airways obstruction,airway obstruction,obstruction airway,airway obstructions
31	, albino,albinos,albinism,albinisms,albinismus
32	, alcohol intoxication,drunks,drunkenness,drunk,alcoholic intoxication,intoxication alcohol,acute alcohol intoxication,inebriation,heavy drinker
33	, alcoholisms,dipsomania,alcoholism chronic,addiction alcohol,chronic alcoholism,alcohol addiction,alcohol dependence syndrome,alcohol dependences,alcoholism disorders,dependence alcoholism alcohol,alcoholism,disorder alcoholism,alcoholism chronic disorders,alcohol dependence,alcohol dependency
34	, alopecia disorders,hairs loss,falls hair,falling hair,loss hair,hair loss,hair thinning,of hair loss,alopecias,thinning hair,alopecia,baldness,hair lossing,hair losses,falling hairs,hair fall,hair falling,loss of hair,disorders hair loss
35	, amblyopic,amblyopia
36	, memory loss,loss memories,of memory loss,amnesia,loss of memory,lossed memory,amnesias,loss memory,dysmnesia
37	, anemia,anaemia,anemia absolute,anemias,anemia disorders,anemia nos,disorder anemia,anaemias,anemia unspecified,anemia disorder
38	, anaemia aplastic,anemia aplastic,bone marrow aplasia,aplasia bone marrow,aplastic anemia,aplastic anemias,erythroid aplasia,aplastic anemia nos,aplastic anaemia,aplastic bone marrow
39	, haemolytic anaemia,hemolytic anemias,haemolytic anaemias,hemolytic anemia,anemia hemolytic,anaemia haemolytic
